"id","Protein.Name","Accession.Number","Molecular.Weight","Identified.Peptide.Count","Protein.Group.Score","Quantitative.Value","Kinter_120720_DIA_Pool_1.mzML","Kinter_120720_DIA_Pool_2.mzML","Kinter_120720_DIA_Pool_3.mzML","Kinter_120720_DIA_Sample_01_Q11_1D.mzML","Kinter_120720_DIA_Sample_02_Q11_2D.mzML","Kinter_120720_DIA_Sample_03_Q11_3D.mzML","Kinter_120720_DIA_Sample_04_Q11_3D_20210220114346.mzML","Kinter_120720_DIA_Sample_05_Q12_1D.mzML","Kinter_120720_DIA_Sample_06_Q12_2D.mzML","Kinter_120720_DIA_Sample_07_Q12_3D.mzML","Kinter_120720_DIA_Sample_08_Q12_3D_20210220125525.mzML","Kinter_120720_DIA_Sample_09_Q13_1D.mzML","Kinter_120720_DIA_Sample_10_Q13_2D.mzML","Kinter_120720_DIA_Sample_11_Q13_3D.mzML","Kinter_120720_DIA_Sample_12_Q13_3D_20210220140656.mzML","Kinter_120720_DIA_Sample_14_Q14_1D.mzML","Kinter_120720_DIA_Sample_15_Q14_2D.mzML","Kinter_120720_DIA_Sample_16_Q14_3D.mzML","Kinter_120720_DIA_Sample_17_Q15_1D.mzML","Kinter_120720_DIA_Sample_18_Q15_2D.mzML","Kinter_120720_DIA_Sample_19_Q15_3D.mzML","Kinter_120720_DIA_Sample_20_R71_1D.mzML","Kinter_120720_DIA_Sample_21_R71_2D.mzML","Kinter_120720_DIA_Sample_22_R71_3D.mzML","Kinter_120720_DIA_Sample_23_R72_1D.mzML","Kinter_120720_DIA_Sample_24_R72_2D.mzML","Kinter_120720_DIA_Sample_25_R72_3D.mzML","Kinter_120720_DIA_Sample_26_R73_1D.mzML","Kinter_120720_DIA_Sample_27_R73_2D.mzML","Kinter_120720_DIA_Sample_28_R73_3D.mzML","Kinter_120720_DIA_Sample_29_R74_1D.mzML","Kinter_120720_DIA_Sample_30_R74_2D.mzML","Kinter_120720_DIA_Sample_31_R74_3D.mzML","Kinter_120720_DIA_Sample_32_R75_1D.mzML","Kinter_120720_DIA_Sample_33_R75_2D.mzML","Kinter_120720_DIA_Sample_34_R75_3D.mzML"
"11","sp|Q99MN9|PCCB_MOUSE Propionyl-CoA carboxylase beta chain, mitochondrial OS=Mus musculus OX=10090 GN=Pccb PE=1 SV=2","sp|Q99MN9|PCCB_MOUSE","58 kDa",22,0.999973496,0,85102000,80653350,67378340,187124200,146991900,134700400,212841500,99045740,87884830,41670680,65586060,111820400,104911800,51371750,70704760,88547630,89238930,58276550,95742730,90823470,61070030,98382320,104155700,73005270,87503260,81959090,63870560,71079470,66963270,55100090,77534480,70106060,59537000,80383270,75468490,61286790
"12","sp|Q99KR7|PPIF_MOUSE Peptidyl-prolyl cis-trans isomerase F, mitochondrial OS=Mus musculus OX=10090 GN=Ppif PE=1 SV=1","sp|Q99KR7|PPIF_MOUSE","22 kDa",5,0.999972948,0,29682070,28633840,17604070,56754610,44755110,29497990,66648310,32417990,28730550,11901740,18951150,36554480,34627760,14120010,20067320,31635830,32612550,16889800,32714870,30518240,20732580,36432230,35535230,22978690,32030780,28004450,20694140,22048430,21020100,16597740,24066950,21663550,18421690,28183630,26537880,23053740
"13","sp|Q9DBG5|PLIN3_MOUSE Perilipin-3 OS=Mus musculus OX=10090 GN=Plin3 PE=1 SV=1","sp|Q9DBG5|PLIN3_MOUSE","47 kDa",14,0.999971536,0,86737930,82316030,77479340,223650200,171293800,123868900,239940300,123474800,110907500,71088680,90062420,123830500,113185100,74148590,82504420,117515000,119148600,90470450,103616900,99356920,83846930,66190120,67849220,57446740,85076680,82331760,70881210,73931620,73381370,65184250,66666160,52777680,50030400,72652710,62521870,60053490
"14","sp|P68037|UB2L3_MOUSE Ubiquitin-conjugating enzyme E2 L3 OS=Mus musculus OX=10090 GN=Ube2l3 PE=1 SV=1","sp|P68037|UB2L3_MOUSE","18 kDa",6,0.999970828,0,57075810,58782620,52209450,110704800,90436880,100147700,117494300,69632970,62347750,34470910,51286540,68535050,62281860,34925320,47965360,59905440,63049160,40793320,59635400,60145540,43444250,62929650,54930590,48136620,59885780,57139520,50412530,55274720,55049110,47799920,54237500,54977410,47205870,49909320,52360490,47201720
"15","sp|Q9Z1E4|GYS1_MOUSE Glycogen [starch] synthase, muscle OS=Mus musculus OX=10090 GN=Gys1 PE=1 SV=2","sp|Q9Z1E4|GYS1_MOUSE","84 kDa",18,0.999970695,0,41418480,44058680,38110000,90099500,68258240,41744820,83587540,51468060,51380720,22965420,35879850,52890910,48160990,25838640,31724710,49066860,48200400,27917840,50327140,47423530,33840040,32745450,33257730,28980560,40254420,47026980,36243830,36810630,37331330,34436600,35657170,35336030,29150550,38350560,37670690,30500690
"16","sp|P29699|FETUA_MOUSE Alpha-2-HS-glycoprotein OS=Mus musculus OX=10090 GN=Ahsg PE=1 SV=1","sp|P29699|FETUA_MOUSE","37 kDa",7,0.999970034,0,58958110,61135770,45335440,126320800,76688100,75763720,121102700,66249590,65515170,27926860,37269690,54463610,48640000,27886230,34601650,63025490,52203370,42125780,58545720,61189360,46668620,58593440,57087150,46188370,57037410,59587220,51347900,78179540,83933520,65990280,98944650,97504710,91926540,77255340,84031810,78711040
"17","sp|O35643|AP1B1_MOUSE AP-1 complex subunit beta-1 OS=Mus musculus OX=10090 GN=Ap1b1 PE=1 SV=2","sp|O35643|AP1B1_MOUSE","104 kDa",25,0.99996903,0,14260750,12226210,10170800,27997410,21262130,17664850,22033830,17116600,15160500,6952251,11844970,19506620,16307860,8558372,10022890,13264140,16976580,10189590,19348820,15632860,10459240,15104740,17555780,12673870,15847200,13814120,9109681,12550190,13419260,6659542,12865280,11955230,9161388,13424500,13927460,8236539
"18","sp|O08553|DPYL2_MOUSE Dihydropyrimidinase-related protein 2 OS=Mus musculus OX=10090 GN=Dpysl2 PE=1 SV=2","sp|O08553|DPYL2_MOUSE","62 kDa",19,0.999968914,0,145367400,136804600,111162800,222456600,201847000,165174200,235242700,174379400,154514300,62755630,106865000,168229700,162755800,73701040,99818010,151356600,156408900,82095530,157396000,148025600,95241670,160636700,179222000,116180700,157638900,163403200,109105500,136425100,128349600,95595150,135702700,127563700,98077530,142264400,129068100,96711140
"19","sp|P97807|FUMH_MOUSE Fumarate hydratase, mitochondrial OS=Mus musculus OX=10090 GN=Fh PE=1 SV=3","sp|P97807|FUMH_MOUSE","54 kDa",20,0.999968736,0,584722300,625656800,541352900,1064941000,842614000,684230200,1024982000,649685400,611843200,334469000,460716800,736507200,682449000,467700300,525940700,598073300,582212300,441857100,669389400,673801900,550434300,729723300,626221700,631546700,673722000,623993900,583929300,506003000,531509000,474453000,583955000,563674100,546713200,581624500,610829700,587784900
"20","sp|Q60597|ODO1_MOUSE 2-oxoglutarate dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Ogdh PE=1 SV=3","sp|Q60597|ODO1_MOUSE","116 kDa",50,0.999968099,0,884211400,842876800,785531400,1603337000,1242326000,1142596000,1588084000,886209600,800848100,469353700,626129600,1073653000,948502300,623373500,721934200,805824500,850288700,652688300,819491900,840931900,663331500,1208768000,1219824000,1034582000,954364800,999650900,843171100,818977400,793034300,669877600,870226700,733783900,699148100,1006324000,934719300,848611700
"21","sp|P63038|CH60_MOUSE 60 kDa heat shock protein, mitochondrial OS=Mus musculus OX=10090 GN=Hspd1 PE=1 SV=1","sp|P63038|CH60_MOUSE","61 kDa",32,0.999967808,0,1277333000,1296646000,1218675000,2054183000,1935256000,1521283000,2334140000,1221805000,1213385000,664982400,951088500,1534492000,1376580000,859685300,981023000,1234464000,1259690000,949106500,1395110000,1356478000,1123296000,1514636000,1525709000,1495724000,1399934000,1487404000,1339376000,1245552000,1311252000,1203363000,1524872000,1503832000,1311224000,1535243000,1559535000,1391240000
"22","sp|Q9WVK4|EHD1_MOUSE EH domain-containing protein 1 OS=Mus musculus OX=10090 GN=Ehd1 PE=1 SV=1","sp|Q9WVK4|EHD1_MOUSE","61 kDa",15,0.999967417,0,17778440,16905440,14646800,36972170,29947380,21090580,40332550,20991940,19450910,10269960,15769480,25295390,22778110,12653000,14560030,22512970,22673040,17029270,22719490,23080340,18991660,19449140,24580820,19022070,17888050,18814900,16527020,17059790,19627450,14749420,21885220,18140110,17964570,19363270,17993260,16051700
"23","sp|Q9CPQ3|TOM22_MOUSE Mitochondrial import receptor subunit TOM22 homolog OS=Mus musculus OX=10090 GN=Tomm22 PE=1 SV=3","sp|Q9CPQ3|TOM22_MOUSE","16 kDa",3,0.999967124,0,13334510,12642110,9839820,32598450,24297680,31371430,39223930,16952180,14520710,6158825,9638782,14775910,12839450,6080454,9269571,11624680,12221920,7442215,13691510,14521460,10246750,12980740,15341430,12213420,12224460,12441070,11715350,13004280,12632520,13333900,14252600,11761690,12451180,13456300,11106570,12720220
"24","sp|Q9D404|OXSM_MOUSE 3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial OS=Mus musculus OX=10090 GN=Oxsm PE=1 SV=1","sp|Q9D404|OXSM_MOUSE","49 kDa",7,0.999966733,0,7258725,6421299,6931306,11834180,9237151,8982896,10483930,8245588,8174995,4194574,6114907,9564911,8428795,4613708,5930617,7630829,7928280,5052746,8121621,8526342,6421934,9560827,9219075,6979647,8232362,6695085,5685040,5840576,5089086,4513603,5950250,6046063,4472220,7439249,6326259,6044576
"25","sp|P54071|IDHP_MOUSE Isocitrate dehydrogenase [NADP], mitochondrial OS=Mus musculus OX=10090 GN=Idh2 PE=1 SV=3","sp|P54071|IDHP_MOUSE","51 kDa",26,0.999966635,0,5097547000,4660589000,4059859000,7934524000,6571393000,6260760000,8276208000,4941189000,4374710000,2468061000,3400896000,6172493000,5788215000,3293468000,4243160000,4697517000,4823783000,3405267000,4687367000,4744801000,3367603000,6071002000,5945430000,4683282000,5425096000,5080293000,3929795000,3809699000,3413248000,2877497000,3933136000,3500471000,3029666000,5181012000,4710315000,3887080000
"26","sp|Q9CQV1|TIM16_MOUSE Mitochondrial import inner membrane translocase subunit TIM16 OS=Mus musculus OX=10090 GN=Pam16 PE=1 SV=1","sp|Q9CQV1|TIM16_MOUSE","14 kDa",3,0.999966089,0,7661866,7509167,5428594,10842990,10639980,9112132,10656000,7185851,6831657,2654409,3972556,7395760,7132197,3536720,4301985,5525215,6182463,2904608,7331968,6495285,3635715,11264590,12294010,8206354,10326310,9186287,6072175,9673917,7495608,5731652,9117596,7304865,5851815,8861435,7453205,6035186
"27","sp|Q8QZT1|THIL_MOUSE Acetyl-CoA acetyltransferase, mitochondrial OS=Mus musculus OX=10090 GN=Acat1 PE=1 SV=1","sp|Q8QZT1|THIL_MOUSE","45 kDa",17,0.999964831,0,659715800,679285300,586002600,1453747000,1059276000,812808800,1692791000,687733900,655469000,351364800,505835200,912828400,832816600,555784500,643887900,772170900,748765400,542514400,690929400,674478400,531386400,993313900,907161300,761490100,741105000,719691300,639755500,588606400,596955300,508529300,662301000,597875000,589697000,678300100,688315600,634701300
"28","sp|P21614|VTDB_MOUSE Vitamin D-binding protein OS=Mus musculus OX=10090 GN=Gc PE=1 SV=2","sp|P21614|VTDB_MOUSE","54 kDa",13,0.999963722,0,100378000,117488900,104610900,142328400,113710500,115503300,158945500,77155060,68946300,33270470,45997630,122536800,103578000,68264160,83581670,108281800,93579750,69721410,108588700,113583700,87564580,108203800,83828710,91699020,131193500,123640600,125189400,157277500,162652500,154523500,160114800,163894500,151707000,125249600,144680200,133492800
"29","sp|Q8BGK2|ARHL1_MOUSE [Protein ADP-ribosylarginine] hydrolase-like protein 1 OS=Mus musculus OX=10090 GN=Adprhl1 PE=1 SV=1","sp|Q8BGK2|ARHL1_MOUSE","40 kDa",13,0.999963171,0,182672000,174742000,144856000,363672100,266959900,179110200,344110100,213528700,178698500,80958640,132766300,218039600,198645000,95690290,142692400,256563500,260990100,147588700,190071600,197759700,118100600,193118900,187171900,130228200,193143500,181697100,122835500,145886100,142876400,103697400,136638000,127091200,97870780,158736900,135048700,107639600
"30","sp|P62631|EF1A2_MOUSE Elongation factor 1-alpha 2 OS=Mus musculus OX=10090 GN=Eef1a2 PE=1 SV=1","sp|P62631|EF1A2_MOUSE","50 kDa",12,0.999962253,0,300499800,294415600,369710300,424604900,409455300,428980700,469774400,323792900,285500200,283343000,298492600,368056200,334862900,342459200,363438200,276061400,329483500,354158900,295205400,318233300,330932300,342229200,373558100,433795700,292543400,337577700,381761300,276916300,314477200,312552300,312397200,283357300,291203900,329942600,309599300,348976500
"31","sp|P07310|KCRM_MOUSE Creatine kinase M-type OS=Mus musculus OX=10090 GN=Ckm PE=1 SV=1","sp|P07310|KCRM_MOUSE","43 kDa",24,0.999960783,0,6707622000,5716204000,5288522000,14281210000,10636230000,7966928000,15158870000,7770834000,6850962000,3871924000,6011451000,8056617000,7198114000,4950866000,5550771000,7121829000,6785712000,5430567000,7100342000,6385485000,5297460000,6589326000,6574641000,5394968000,6417930000,6099919000,5157504000,4592401000,4895353000,4301248000,5273805000,4381776000,4217789000,5041939000,5004809000,4941634000
"32","sp|P52480|KPYM_MOUSE Pyruvate kinase PKM OS=Mus musculus OX=10090 GN=Pkm PE=1 SV=4","sp|P52480|KPYM_MOUSE","58 kDa",30,0.99996065,0,2340073000,2288920000,2152612000,4878216000,4127303000,3295935000,5197330000,2582650000,2415861000,1391414000,1954860000,3383941000,2796656000,1840588000,2198198000,2619910000,2698567000,1914860000,2472298000,2506716000,1893272000,3020353000,3177278000,2503959000,2350347000,2263707000,1983664000,1759993000,1734266000,1493600000,1878014000,1810996000,1601366000,2110001000,1910441000,1745445000
"33","sp|Q99LC5|ETFA_MOUSE Electron transfer flavoprotein subunit alpha, mitochondrial OS=Mus musculus OX=10090 GN=Etfa PE=1 SV=2","sp|Q99LC5|ETFA_MOUSE","35 kDa",17,0.999960529,0,1543261000,1643728000,1349864000,2741506000,2253050000,1861885000,2564796000,1725885000,1594951000,789420400,1105535000,1925079000,1624409000,1104901000,1386400000,1496368000,1394773000,995655000,1683682000,1651684000,1251336000,2145534000,1867523000,1614501000,1714700000,1531637000,1168960000,1260415000,1267609000,1113262000,1458057000,1408677000,1180293000,1532276000,1502261000,1265898000
"34","sp|P56480|ATPB_MOUSE ATP synthase subunit beta, mitochondrial OS=Mus musculus OX=10090 GN=Atp5f1b PE=1 SV=2","sp|P56480|ATPB_MOUSE","56 kDa",25,0.999960326,0,9284513000,8868170000,8429786000,13063120000,11217780000,7180212000,12218880000,9216363000,8592607000,4810391000,6713104000,10581020000,10370310000,6068762000,7195823000,8144311000,8644254000,6036651000,9627718000,9623850000,7223132000,11088540000,11640620000,8829696000,9574799000,9043449000,7905792000,7945613000,7683567000,6216906000,8394430000,7998551000,6493774000,9862870000,8696517000,7267106000
"35","sp|P50544|ACADV_MOUSE Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acadvl PE=1 SV=3","sp|P50544|ACADV_MOUSE","71 kDa",41,0.999960242,0,2148424000,2213324000,1964353000,3230017000,2722847000,2182686000,3675595000,1756488000,1692007000,853328200,1228479000,2172462000,2101807000,1274850000,1507055000,1578058000,1648387000,1121782000,1905079000,1934338000,1383769000,3233445000,3087337000,2667067000,2609838000,2566165000,2126845000,2170307000,2273082000,1907917000,2531687000,2411393000,2047312000,2698413000,2718904000,2335904000
"36","sp|P34914|HYES_MOUSE Bifunctional epoxide hydrolase 2 OS=Mus musculus OX=10090 GN=Ephx2 PE=1 SV=2","sp|P34914|HYES_MOUSE","63 kDa",22,0.999959917,0,481543300,456966600,394160100,737771400,576555800,421899300,751234200,363613800,336506700,181671900,273575700,465626200,445348300,252183200,312213400,356660200,366335500,245029500,360776000,349109800,257503900,702850200,703344300,583599900,584454000,545146400,442955800,481628900,457468600,395073400,474404100,436706000,383948000,526072400,461324200,430700400
"37","sp|P62960|YBOX1_MOUSE Nuclease-sensitive element-binding protein 1 OS=Mus musculus OX=10090 GN=Ybx1 PE=1 SV=3","sp|P62960|YBOX1_MOUSE","36 kDa",8,0.999959806,0,9360677,8953326,11783250,20601600,16699020,23283300,24495740,11373210,9241797,7970752,8689874,10747870,10430390,9304576,8576791,11991860,11689230,10687400,10440770,10313520,9116965,12349100,12904070,12738010,9440109,10497600,9828429,9328082,7995153,6738263,9269021,8902706,8999322,10593950,10051230,10566780
"38","sp|Q9DB26|PHYD1_MOUSE Phytanoyl-CoA dioxygenase domain-containing protein 1 OS=Mus musculus OX=10090 GN=Phyhd1 PE=1 SV=2","sp|Q9DB26|PHYD1_MOUSE","33 kDa",6,0.999958927,0,4809699,4128151,3473419,12128160,9182929,6720361,12923650,6537060,5130231,3522188,3901635,6457711,7517788,3109268,6006852,4805292,5483189,3003092,5701362,6416436,3472828,6439897,6917461,3985777,4597632,3837002,3639245,3642251,3778307,3329221,3657809,3933659,3278920,6408403,5385204,3730793
"39","sp|P06745|G6PI_MOUSE Glucose-6-phosphate isomerase OS=Mus musculus OX=10090 GN=Gpi PE=1 SV=4","sp|P06745|G6PI_MOUSE","63 kDa",24,0.999957197,0,1160476000,1119115000,1046470000,2054675000,1612867000,1595655000,2380687000,1407693000,1271219000,719945800,1044383000,1324358000,1203025000,770879900,970760400,1115391000,1143146000,865485300,1255986000,1166539000,963374500,1162340000,1064771000,1068431000,1179910000,1144068000,1042827000,1056333000,1087161000,973099600,1121977000,986336800,948125400,1063193000,1017155000,1005158000
"40","sp|P17182|ENOA_MOUSE Alpha-enolase OS=Mus musculus OX=10090 GN=Eno1 PE=1 SV=3","sp|P17182|ENOA_MOUSE","47 kDa",19,0.999956945,0,196045800,196677500,172654100,342302800,284182300,274505400,366125600,244054800,227705900,132626400,167382500,230502000,222565500,143566100,172795200,207695800,210109100,161360100,227299700,228348800,198920800,231418000,216071100,201972900,227977500,215524700,209679600,173481100,208297700,180014800,204791000,181949400,192331700,192514700,195300300,191923300
"41","sp|Q9D6J6|NDUV2_MOUSE NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial OS=Mus musculus OX=10090 GN=Ndufv2 PE=1 SV=2","sp|Q9D6J6|NDUV2_MOUSE","27 kDa",12,0.999956685,0,210076400,203904300,199173900,350691900,266703200,130182500,247534500,236827700,215880900,132998300,200568300,262968500,243382100,167192600,210282200,205983400,214114200,181971400,242919200,257898300,216399700,242329900,230559200,185401900,207983700,189345900,192314400,177436300,193476300,172851000,140085100,182805600,169551100,131110500,179083100,180747600
"42","sp|Q9WTX5|SKP1_MOUSE S-phase kinase-associated protein 1 OS=Mus musculus OX=10090 GN=Skp1 PE=1 SV=3","sp|Q9WTX5|SKP1_MOUSE","19 kDa",6,0.999956208,0,11916270,12226530,8694617,39371840,23577410,13478400,43920740,16812990,13636520,5498104,8624895,18554120,17703970,5749880,8313375,17609660,16009200,8610986,15333990,16642030,8745821,18310190,16295710,9247867,16868470,12958820,9397678,9410626,8038018,6312292,9033674,7694525,6685117,11938290,11385400,8523366
"43","sp|Q9CR62|M2OM_MOUSE Mitochondrial 2-oxoglutarate/malate carrier protein OS=Mus musculus OX=10090 GN=Slc25a11 PE=1 SV=3","sp|Q9CR62|M2OM_MOUSE","34 kDa",16,0.999954275,0,497759500,486637200,377095500,919857000,764500900,550770400,831132200,614906100,553374500,251141000,397859300,665799200,608250400,317041300,417629800,515749200,533057700,340065700,587641700,591654300,410280600,536728200,551847900,409785400,431930800,431654800,317859700,374513300,368540700,290390300,392120100,342989800,306949000,432190700,410851300,367105400
"44","sp|Q9CZR8|EFTS_MOUSE Elongation factor Ts, mitochondrial OS=Mus musculus OX=10090 GN=Tsfm PE=1 SV=1","sp|Q9CZR8|EFTS_MOUSE","35 kDa",10,0.999954075,0,9776295,9547379,9780321,19257920,15104060,11430240,18019040,10765500,11784700,5951315,8809834,12792730,13450570,7034393,10405680,9413602,12233750,7380971,12987010,12799640,9616762,13605880,13615220,11573090,9261391,8562329,8164993,7645051,9179935,6312376,9121211,8992616,7290506,9641438,10427580,9160020
"45","sp|P26039|TLN1_MOUSE Talin-1 OS=Mus musculus OX=10090 GN=Tln1 PE=1 SV=2","sp|P26039|TLN1_MOUSE","270 kDa",61,0.9999535,0,90849400,87691290,89008490,76258870,63084610,61231300,88145170,91879410,77945640,40371710,61914640,74029250,70264880,45764540,58809990,78733170,97160810,57379990,94592830,96657530,73612560,77029110,80345510,71070570,120175700,116538700,98059330,137240300,131426500,113266600,98378110,99989130,92353150,109051600,114742600,101342700
