Gene name,High,Low,Medium,Not detected
TNFRSF10B,"adipocytes, glandular cells, glandular cells, hematopoietic cells, glandular cells, myoepithelial cells, respiratory epithelial cells, Purkinje cells, endothelial cells, glandular cells, glandular cells, glandular cells, glandular cells, cardiomyocytes, cells in glomeruli, cells in tubules, hepatocytes, macrophages, decidual cells, trophoblastic cells, glandular cells, glandular cells, myocytes, fibroblasts, Langerhans, glandular cells, fibroblasts, fibroblasts, peripheral nerve, glandular cells, glandular cells, cells in seminiferous ducts, Leydig cells, glandular cells, squamous epithelial cells, urothelial cells","glial cells, cells in molecular layer, glial cells, glial cells, alveolar cells, germinal center cells, pancreatic endocrine cells, cells in red pulp","lymphoid tissue, adipocytes, cells in granular layer, endothelial cells, neuropil, glandular cells, squamous epithelial cells, cells in endometrial stroma, glandular cells, cells in endometrial stroma, glandular cells, squamous epithelial cells, glandular cells, cholangiocytes, non-germinal center cells, respiratory epithelial cells, squamous epithelial cells, follicle cells, ovarian stroma cells, exocrine glandular cells, glandular cells, glandular cells, glandular cells, keratinocytes, melanocytes, epidermal cells, smooth muscle cells, germinal center cells, non-germinal center cells, squamous epithelial cells","neuronal cells, neuronal cells, neuronal cells, cells in white pulp"
TNFRSF10C,,"lymphoid tissue, non-germinal center cells, exocrine glandular cells, glandular cells, non-germinal center cells","hematopoietic cells, cells in red pulp","adipocytes, glandular cells, glandular cells, adipocytes, glandular cells, myoepithelial cells, respiratory epithelial cells, glial cells, neuronal cells, cells in granular layer, cells in molecular layer, Purkinje cells, endothelial cells, glial cells, neuronal cells, neuropil, glandular cells, squamous epithelial cells, endothelial cells, glandular cells, peripheral nerve/ganglion, glandular cells, cells in endometrial stroma, glandular cells, cells in endometrial stroma, glandular cells, glandular cells, squamous epithelial cells, glandular cells, glandular cells, cardiomyocytes, glial cells, neuronal cells, cells in glomeruli, cells in tubules, cholangiocytes, hepatocytes, alveolar cells, macrophages, germinal center cells, respiratory epithelial cells, squamous epithelial cells, follicle cells, ovarian stroma cells, pancreatic endocrine cells, glandular cells, decidual cells, trophoblastic cells, glandular cells, glandular cells, glandular cells, glandular cells, myocytes, fibroblasts, keratinocytes, Langerhans, melanocytes, epidermal cells, glandular cells, smooth muscle cells, fibroblasts, peripheral nerve, fibroblasts, peripheral nerve, cells in white pulp, glandular cells, glandular cells, cells in seminiferous ducts, Leydig cells, germinal center cells, squamous epithelial cells, urothelial cells, squamous epithelial cells"
TNFRSF11A,"glandular cells, glandular cells","hematopoietic cells, glandular cells, myoepithelial cells, glial cells, glandular cells, peripheral nerve/ganglion, glandular cells, glandular cells, non-germinal center cells, glandular cells, glandular cells, fibroblasts, melanocytes, epidermal cells, smooth muscle cells, glandular cells, non-germinal center cells, squamous epithelial cells","glandular cells, respiratory epithelial cells, neuronal cells, cells in granular layer, cells in molecular layer, Purkinje cells, neuronal cells, neuropil, glandular cells, glandular cells, glandular cells, neuronal cells, respiratory epithelial cells, myocytes, chondrocytes, peripheral nerve, glandular cells, glandular cells, Leydig cells","adipocytes, glandular cells, lymphoid tissue, adipocytes, glial cells, endothelial cells, glandular cells, squamous epithelial cells, endothelial cells, cells in endometrial stroma, cells in endometrial stroma, squamous epithelial cells, cardiomyocytes, glial cells, cells in glomeruli, cells in tubules, cholangiocytes, hepatocytes, alveolar cells, macrophages, germinal center cells, squamous epithelial cells, ovarian stroma cells, exocrine glandular cells, pancreatic endocrine cells, trophoblastic cells, glandular cells, glandular cells, glandular cells, keratinocytes, Langerhans, fibroblasts, peripheral nerve, fibroblasts, cells in red pulp, cells in white pulp, cells in seminiferous ducts, germinal center cells, urothelial cells, squamous epithelial cells"
TNFRSF11B,,,,"adipocytes, glandular cells, glandular cells, lymphoid tissue, hematopoietic cells, adipocytes, glandular cells, myoepithelial cells, respiratory epithelial cells, glial cells, neuronal cells, cells in granular layer, cells in molecular layer, Purkinje cells, endothelial cells, glial cells, neuronal cells, neuropil, glandular cells, squamous epithelial cells, endothelial cells, glandular cells, peripheral nerve/ganglion, glandular cells, cells in endometrial stroma, glandular cells, cells in endometrial stroma, glandular cells, glandular cells, squamous epithelial cells, glandular cells, glandular cells, cardiomyocytes, glial cells, neuronal cells, cells in glomeruli, cells in tubules, cholangiocytes, hepatocytes, alveolar cells, macrophages, germinal center cells, non-germinal center cells, respiratory epithelial cells, squamous epithelial cells, follicle cells, ovarian stroma cells, exocrine glandular cells, pancreatic endocrine cells, glandular cells, decidual cells, trophoblastic cells, glandular cells, glandular cells, glandular cells, glandular cells, myocytes, fibroblasts, keratinocytes, Langerhans, melanocytes, epidermal cells, glandular cells, smooth muscle cells, chondrocytes, fibroblasts, peripheral nerve, chondrocytes, fibroblasts, peripheral nerve, cells in red pulp, cells in white pulp, glandular cells, glandular cells, cells in seminiferous ducts, Leydig cells, glandular cells, germinal center cells, non-germinal center cells, squamous epithelial cells, urothelial cells, squamous epithelial cells"
TNFRSF12A,trophoblastic cells,"glial cells, glial cells, glandular cells, endothelial cells, peripheral nerve/ganglion, cells in endometrial stroma, cells in endometrial stroma, squamous epithelial cells, cardiomyocytes, glial cells, alveolar cells, macrophages, germinal center cells, squamous epithelial cells, ovarian stroma cells, glandular cells, myocytes, smooth muscle cells, cells in red pulp, Leydig cells, glandular cells, germinal center cells","glandular cells, glandular cells, hematopoietic cells, respiratory epithelial cells, neuronal cells, cells in molecular layer, neuronal cells, glandular cells, glandular cells, glandular cells, glandular cells, glandular cells, neuronal cells, cells in tubules, cholangiocytes, non-germinal center cells, respiratory epithelial cells, exocrine glandular cells, glandular cells, glandular cells, glandular cells, epidermal cells, cells in white pulp, glandular cells, glandular cells, cells in seminiferous ducts, non-germinal center cells, squamous epithelial cells, urothelial cells","adipocytes, lymphoid tissue, adipocytes, glandular cells, myoepithelial cells, cells in granular layer, Purkinje cells, endothelial cells, neuropil, glandular cells, glandular cells, cells in glomeruli, hepatocytes, pancreatic endocrine cells, decidual cells, fibroblasts, keratinocytes, Langerhans, melanocytes, glandular cells, fibroblasts, peripheral nerve, fibroblasts, peripheral nerve"
TNFRSF13B,"germinal center cells, non-germinal center cells, germinal center cells","adipocytes, adipocytes, glial cells, cells in granular layer, endothelial cells, glial cells, neuropil, endothelial cells, glandular cells, cholangiocytes, ovarian stroma cells, decidual cells, fibroblasts, keratinocytes, fibroblasts, peripheral nerve, fibroblasts, peripheral nerve, squamous epithelial cells","glandular cells, glandular cells, lymphoid tissue, hematopoietic cells, glandular cells, myoepithelial cells, respiratory epithelial cells, neuronal cells, cells in molecular layer, Purkinje cells, neuronal cells, glandular cells, squamous epithelial cells, glandular cells, peripheral nerve/ganglion, glandular cells, cells in endometrial stroma, glandular cells, glandular cells, squamous epithelial cells, glandular cells, glandular cells, cardiomyocytes, neuronal cells, cells in tubules, hepatocytes, macrophages, respiratory epithelial cells, squamous epithelial cells, exocrine glandular cells, pancreatic endocrine cells, glandular cells, trophoblastic cells, glandular cells, glandular cells, glandular cells, glandular cells, myocytes, Langerhans, melanocytes, epidermal cells, glandular cells, cells in white pulp, glandular cells, glandular cells, cells in seminiferous ducts, Leydig cells, glandular cells, non-germinal center cells, squamous epithelial cells, urothelial cells","cells in endometrial stroma, glial cells, cells in glomeruli, alveolar cells, smooth muscle cells, cells in red pulp"
TNFRSF13C,"lymphoid tissue, non-germinal center cells, cells in white pulp, non-germinal center cells",,"hematopoietic cells, germinal center cells, cells in red pulp, germinal center cells","adipocytes, glandular cells, glandular cells, adipocytes, glandular cells, myoepithelial cells, respiratory epithelial cells, glial cells, neuronal cells, cells in granular layer, cells in molecular layer, Purkinje cells, endothelial cells, glial cells, neuronal cells, neuropil, glandular cells, squamous epithelial cells, endothelial cells, glandular cells, peripheral nerve/ganglion, glandular cells, cells in endometrial stroma, glandular cells, cells in endometrial stroma, glandular cells, glandular cells, squamous epithelial cells, glandular cells, glandular cells, cardiomyocytes, glial cells, neuronal cells, cells in glomeruli, cells in tubules, cholangiocytes, hepatocytes, alveolar cells, macrophages, respiratory epithelial cells, squamous epithelial cells, follicle cells, ovarian stroma cells, exocrine glandular cells, pancreatic endocrine cells, glandular cells, decidual cells, trophoblastic cells, glandular cells, glandular cells, glandular cells, glandular cells, myocytes, fibroblasts, keratinocytes, Langerhans, melanocytes, epidermal cells, glandular cells, smooth muscle cells, chondrocytes, fibroblasts, peripheral nerve, fibroblasts, peripheral nerve, glandular cells, glandular cells, cells in seminiferous ducts, Leydig cells, glandular cells, squamous epithelial cells, urothelial cells, squamous epithelial cells"
TNFRSF14,"glandular cells, lymphoid tissue, glandular cells, cells in tubules, non-germinal center cells, glandular cells, cells in red pulp, cells in white pulp, glandular cells, non-germinal center cells, urothelial cells","hematopoietic cells, squamous epithelial cells, endothelial cells, squamous epithelial cells, cardiomyocytes, hepatocytes, pancreatic endocrine cells, glandular cells, glandular cells, glandular cells, keratinocytes, epidermal cells, Leydig cells, glandular cells, squamous epithelial cells, squamous epithelial cells","glandular cells, glandular cells, respiratory epithelial cells, glandular cells, glandular cells, glandular cells, glandular cells, glandular cells, glandular cells, cholangiocytes, macrophages, respiratory epithelial cells, glandular cells, glandular cells, germinal center cells","adipocytes, adipocytes, myoepithelial cells, glial cells, neuronal cells, cells in granular layer, cells in molecular layer, Purkinje cells, endothelial cells, glial cells, neuronal cells, neuropil, peripheral nerve/ganglion, cells in endometrial stroma, cells in endometrial stroma, glandular cells, glial cells, neuronal cells, cells in glomeruli, alveolar cells, germinal center cells, squamous epithelial cells, follicle cells, ovarian stroma cells, exocrine glandular cells, decidual cells, trophoblastic cells, glandular cells, myocytes, fibroblasts, Langerhans, melanocytes, smooth muscle cells, chondrocytes, fibroblasts, peripheral nerve, fibroblasts, peripheral nerve, cells in seminiferous ducts"
TNFRSF18,,,,"adipocytes, glandular cells, glandular cells, lymphoid tissue, hematopoietic cells, adipocytes, glandular cells, myoepithelial cells, glial cells, neuronal cells, cells in granular layer, cells in molecular layer, Purkinje cells, endothelial cells, glial cells, neuronal cells, neuropil, glandular cells, endothelial cells, glandular cells, glandular cells, cells in endometrial stroma, glandular cells, cells in endometrial stroma, glandular cells, glandular cells, squamous epithelial cells, glandular cells, glandular cells, cardiomyocytes, glial cells, neuronal cells, cells in glomeruli, cells in tubules, cholangiocytes, hepatocytes, alveolar cells, macrophages, germinal center cells, non-germinal center cells, respiratory epithelial cells, squamous epithelial cells, ovarian stroma cells, exocrine glandular cells, pancreatic endocrine cells, glandular cells, decidual cells, trophoblastic cells, glandular cells, glandular cells, glandular cells, glandular cells, myocytes, fibroblasts, keratinocytes, Langerhans, melanocytes, glandular cells, smooth muscle cells, fibroblasts, fibroblasts, cells in red pulp, cells in white pulp, glandular cells, glandular cells, cells in seminiferous ducts, Leydig cells, glandular cells, germinal center cells, non-germinal center cells, squamous epithelial cells, urothelial cells, squamous epithelial cells"
TNFRSF1A,,"adipocytes, glandular cells, hematopoietic cells, glial cells, endothelial cells, glandular cells, cardiomyocytes, glial cells, cells in glomeruli, hepatocytes, non-germinal center cells, follicle cells, exocrine glandular cells, myocytes, fibroblasts, epidermal cells, fibroblasts, glandular cells, glandular cells, non-germinal center cells, squamous epithelial cells","glandular cells, glandular cells, myoepithelial cells, respiratory epithelial cells, neuronal cells, Purkinje cells, glial cells, neuronal cells, squamous epithelial cells, endothelial cells, glandular cells, glandular cells, glandular cells, glandular cells, squamous epithelial cells, glandular cells, glandular cells, neuronal cells, cells in tubules, macrophages, germinal center cells, respiratory epithelial cells, squamous epithelial cells, pancreatic endocrine cells, glandular cells, trophoblastic cells, glandular cells, glandular cells, glandular cells, keratinocytes, Langerhans, melanocytes, glandular cells, glandular cells, cells in seminiferous ducts, Leydig cells, germinal center cells, squamous epithelial cells, urothelial cells","lymphoid tissue, adipocytes, cells in granular layer, cells in molecular layer, neuropil, cells in endometrial stroma, cells in endometrial stroma, cholangiocytes, alveolar cells, ovarian stroma cells, glandular cells, smooth muscle cells, peripheral nerve, peripheral nerve, cells in red pulp, cells in white pulp"
TNFRSF1B,,,,"adipocytes, glandular cells, glandular cells, lymphoid tissue, hematopoietic cells, adipocytes, glandular cells, myoepithelial cells, respiratory epithelial cells, glial cells, neuronal cells, cells in granular layer, cells in molecular layer, Purkinje cells, endothelial cells, glial cells, neuronal cells, neuropil, glandular cells, squamous epithelial cells, endothelial cells, glandular cells, peripheral nerve/ganglion, glandular cells, cells in endometrial stroma, glandular cells, cells in endometrial stroma, glandular cells, glandular cells, squamous epithelial cells, glandular cells, glandular cells, cardiomyocytes, glial cells, neuronal cells, cells in glomeruli, cells in tubules, cholangiocytes, hepatocytes, alveolar cells, macrophages, germinal center cells, non-germinal center cells, respiratory epithelial cells, squamous epithelial cells, follicle cells, ovarian stroma cells, exocrine glandular cells, pancreatic endocrine cells, glandular cells, decidual cells, trophoblastic cells, glandular cells, glandular cells, glandular cells, glandular cells, myocytes, fibroblasts, keratinocytes, Langerhans, melanocytes, epidermal cells, glandular cells, smooth muscle cells, chondrocytes, fibroblasts, peripheral nerve, chondrocytes, fibroblasts, peripheral nerve, cells in red pulp, cells in white pulp, glandular cells, glandular cells, cells in seminiferous ducts, Leydig cells, glandular cells, germinal center cells, non-germinal center cells, squamous epithelial cells, urothelial cells, squamous epithelial cells"
TNFRSF21,"cells in molecular layer, Purkinje cells, neuronal cells, neuronal cells","adipocytes, glial cells, endothelial cells, glandular cells, cells in endometrial stroma, cardiomyocytes, hepatocytes, germinal center cells, follicle cells, exocrine glandular cells, pancreatic endocrine cells, glandular cells, keratinocytes, Langerhans, fibroblasts, cells in red pulp, cells in white pulp, squamous epithelial cells","adipocytes, glandular cells, glandular cells, glandular cells, myoepithelial cells, respiratory epithelial cells, neuronal cells, cells in granular layer, glial cells, neuropil, squamous epithelial cells, endothelial cells, peripheral nerve/ganglion, glandular cells, glandular cells, cells in endometrial stroma, glandular cells, glandular cells, squamous epithelial cells, glandular cells, glandular cells, glial cells, cells in glomeruli, cells in tubules, cholangiocytes, alveolar cells, macrophages, non-germinal center cells, respiratory epithelial cells, squamous epithelial cells, glandular cells, decidual cells, trophoblastic cells, glandular cells, glandular cells, myocytes, fibroblasts, melanocytes, epidermal cells, glandular cells, smooth muscle cells, fibroblasts, peripheral nerve, glandular cells, glandular cells, cells in seminiferous ducts, Leydig cells, glandular cells, non-germinal center cells, urothelial cells, squamous epithelial cells","lymphoid tissue, hematopoietic cells"
